idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,1.717563e-19,-0.0034826014
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,-2.0283053e-19,0.0007448464
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,-9.081046e-20,-0.002340361
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,6.274092e-20,-0.014173679
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,-1.9712827e-19,-0.008648316
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,-4.5145876e-20,0.0058259573
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,1.3722167e-20,-0.0007867543
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,8.892882e-20,0.00935414
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,4.6522822e-20,0.00036004186
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,1.717562e-19,-0.0034825976
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,1.0517553,0.00017927463,-0.050625015,-0.0006516662
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.1163273,-0.045403473,-0.0029470776,0.0017863493
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.1059105,0.077307045,0.0061545353,-0.0058384165
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.0275478,-0.06815311,0.058119368,-0.0017531762
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.0822132,-0.009854984,0.022519344,0.0015886822
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.13508,-0.04584315,0.021847421,-0.0006912603
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.0405182,-0.0046072933,0.01768974,0.00337465
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,1.1399841,-0.011056167,-0.017164895,0.0005008626
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.0422885,0.0078117233,-0.09570815,-0.0019717128
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,1.0517553,0.00017927804,-0.050625008,-0.0006516657
20,-12.566370614359172,0.33333333333333326,-4.71238898038469,1.0659409,-0.0011330593,0.03511068,-0.0012139146
21,-12.566370614359172,0.33333333333333326,-3.6651914291880923,1.1433982,0.036915537,-0.020865314,-0.0003306388
22,-12.566370614359172,0.33333333333333326,-2.6179938779914944,1.0305291,0.043580804,0.009138932,-0.0007565807
23,-12.566370614359172,0.33333333333333326,-1.5707963267948966,1.0635602,0.033866454,-0.03542541,-0.0012276632
24,-12.566370614359172,0.33333333333333326,-0.5235987755982991,1.1347828,0.012746652,-0.00026398903,-9.2178234e-05
25,-12.566370614359172,0.33333333333333326,0.5235987755982983,1.0664363,0.034215182,0.027733607,-0.0009256019
26,-12.566370614359172,0.33333333333333326,1.5707963267948966,1.020161,-0.008957943,-0.0072809337,0.002048593
27,-12.566370614359172,0.33333333333333326,2.617993877991494,1.0209525,-0.008109123,0.006436283,0.00024087403
28,-12.566370614359172,0.33333333333333326,3.6651914291880914,1.1547773,0.0052859853,0.0076472205,-0.00061694474
29,-12.566370614359172,0.33333333333333326,4.71238898038469,1.0659409,-0.001133075,0.035110682,-0.0012139146
