idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,4.6954594e-20,0.0026165177
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,-5.670867e-20,-0.0015642813
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,7.3402004e-20,-0.0029599643
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,7.036113e-20,0.00044323536
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,-7.7806605e-20,0.009737913
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,6.284042e-20,0.0052911844
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,1.7849498e-19,0.011190526
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,1.4268426e-19,-0.008204157
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,-1.5965078e-19,-0.0011583273
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,4.695449e-20,0.002616516
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,1.0480714,-0.005827889,-0.023268035,0.0011211146
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.0519954,0.03457502,8.569143e-05,0.0022207373
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.0540471,0.050498225,-0.009521423,-0.0004606971
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.0312779,0.036548592,-0.020395553,-0.0008205301
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.1616358,-0.031858828,-0.015220212,0.0003728892
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.0223758,0.07512095,4.7467176e-05,-0.0012128035
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.1618694,-0.0047178627,-0.013853846,0.0013020298
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,1.0156655,-0.007465085,-0.013288491,-0.00086081156
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.1066281,0.039463244,0.042626735,-0.000853035
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,1.0480714,-0.0058278847,-0.023268031,0.0011211145
20,-12.566370614359172,0.33333333333333326,-4.71238898038469,1.1909581,-0.027937163,-0.0536318,-0.0008600289
21,-12.566370614359172,0.33333333333333326,-3.6651914291880923,1.0987605,0.041025057,0.03759458,-0.0009353754
22,-12.566370614359172,0.33333333333333326,-2.6179938779914944,1.1275698,0.011860481,-0.0395875,0.0023016084
23,-12.566370614359172,0.33333333333333326,-1.5707963267948966,1.1303333,0.0153014185,0.0820069,0.0014980504
24,-12.566370614359172,0.33333333333333326,-0.5235987755982991,1.0487491,-0.042536512,0.02066619,-0.0049749776
25,-12.566370614359172,0.33333333333333326,0.5235987755982983,1.134376,-0.032085508,-0.0070199664,0.0027593654
26,-12.566370614359172,0.33333333333333326,1.5707963267948966,1.1357212,0.05463208,-0.036138766,-0.0049489746
27,-12.566370614359172,0.33333333333333326,2.617993877991494,1.089957,0.07140654,0.03361127,-0.0034741927
28,-12.566370614359172,0.33333333333333326,3.6651914291880914,0.95804876,0.011131025,0.012970078,-0.003005477
29,-12.566370614359172,0.33333333333333326,4.71238898038469,1.1909581,-0.027937159,-0.0536318,-0.00086002913
30,-12.566370614359172,1.0,-4.71238898038469,0.0,0.0,2.7361912e-19,0.0023876138
31,-12.566370614359172,1.0,-3.6651914291880923,0.0,0.0,-1.6823687e-19,0.0043281033
32,-12.566370614359172,1.0,-2.6179938779914944,0.0,0.0,-1.1315156e-19,0.0054804427
33,-12.566370614359172,1.0,-1.5707963267948966,0.0,0.0,2.0929078e-19,-0.0041556316
34,-12.566370614359172,1.0,-0.5235987755982991,0.0,0.0,-5.976637e-20,-0.002267402
35,-12.566370614359172,1.0,0.5235987755982983,0.0,0.0,8.560785e-20,0.008426174
36,-12.566370614359172,1.0,1.5707963267948966,0.0,0.0,-3.5199627e-20,0.00084261945
37,-12.566370614359172,1.0,2.617993877991494,0.0,0.0,-3.4376396e-19,-0.0060422323
38,-12.566370614359172,1.0,3.6651914291880914,0.0,0.0,9.601948e-20,0.0037451573
39,-12.566370614359172,1.0,4.71238898038469,0.0,0.0,2.7361912e-19,0.0023876147
40,-11.243594760216101,-1.0,-4.71238898038469,0.0,0.0,3.6421134e-20,0.0010659567
41,-11.243594760216101,-1.0,-3.6651914291880923,0.0,0.0,2.0443222e-19,0.004661705
42,-11.243594760216101,-1.0,-2.6179938779914944,0.0,0.0,1.1315368e-19,-0.0045997817
43,-11.243594760216101,-1.0,-1.5707963267948966,0.0,0.0,-8.8549756e-20,-0.0067456127
44,-11.243594760216101,-1.0,-0.5235987755982991,0.0,0.0,1.3919013e-19,0.0056105317
45,-11.243594760216101,-1.0,0.5235987755982983,0.0,0.0,3.399309e-19,-0.010892729
46,-11.243594760216101,-1.0,1.5707963267948966,0.0,0.0,1.1292716e-19,0.006207227
47,-11.243594760216101,-1.0,2.617993877991494,0.0,0.0,7.6965246e-20,0.0043234704
48,-11.243594760216101,-1.0,3.6651914291880914,0.0,0.0,-3.084883e-19,-0.0009800969
49,-11.243594760216101,-1.0,4.71238898038469,0.0,0.0,3.6420623e-20,0.0010659567
50,-11.243594760216101,-0.33333333333333337,-4.71238898038469,1.1224552,-0.015189314,0.058849208,-0.00010198599
51,-11.243594760216101,-0.33333333333333337,-3.6651914291880923,1.0373132,0.036542743,-0.05826526,0.00031637546
52,-11.243594760216101,-0.33333333333333337,-2.6179938779914944,1.147602,-0.042610515,-0.0028411709,-0.00036598122
53,-11.243594760216101,-0.33333333333333337,-1.5707963267948966,1.0603273,0.0001742153,-0.0657939,0.00054706674
54,-11.243594760216101,-0.33333333333333337,-0.5235987755982991,1.137345,0.014774898,-0.050169915,0.0023638033
55,-11.243594760216101,-0.33333333333333337,0.5235987755982983,1.058851,-3.9868333e-05,0.026198355,0.0007734004
56,-11.243594760216101,-0.33333333333333337,1.5707963267948966,1.1237613,-0.043437578,0.010135942,0.0023498065
57,-11.243594760216101,-0.33333333333333337,2.617993877991494,1.0252881,0.054636132,0.07864072,-0.00040508856
58,-11.243594760216101,-0.33333333333333337,3.6651914291880914,1.1473813,-0.020184275,0.008657381,0.0012084345
59,-11.243594760216101,-0.33333333333333337,4.71238898038469,1.1224552,-0.015189321,0.058849216,-0.00010198736
60,-11.243594760216101,0.33333333333333326,-4.71238898038469,1.1017731,0.023808287,0.0015559811,-0.00085590023
61,-11.243594760216101,0.33333333333333326,-3.6651914291880923,1.1656457,-0.03245963,-0.024811016,-0.002297984
62,-11.243594760216101,0.33333333333333326,-2.6179938779914944,1.1714156,0.07494183,-0.006563119,-0.00012566386
63,-11.243594760216101,0.33333333333333326,-1.5707963267948966,1.0833937,0.016466856,-0.0027662236,-0.000834072
64,-11.243594760216101,0.33333333333333326,-0.5235987755982991,1.1141623,0.007988565,0.0032656074,-0.0049045444
65,-11.243594760216101,0.33333333333333326,0.5235987755982983,1.1259727,0.02410585,-0.0718348,0.0014200058
66,-11.243594760216101,0.33333333333333326,1.5707963267948966,1.1058292,0.0566148,0.029046468,-0.0011021369
67,-11.243594760216101,0.33333333333333326,2.617993877991494,1.0339462,-0.056344524,0.013525804,-0.0016397043
68,-11.243594760216101,0.33333333333333326,3.6651914291880914,0.92347187,-0.023787796,0.021974012,-0.0014067601
69,-11.243594760216101,0.33333333333333326,4.71238898038469,1.1017731,0.023808286,0.0015559813,-0.0008559001
70,-11.243594760216101,1.0,-4.71238898038469,0.0,0.0,2.6863138e-19,-0.018043023
71,-11.243594760216101,1.0,-3.6651914291880923,0.0,0.0,2.2523647e-19,-0.0018100719
72,-11.243594760216101,1.0,-2.6179938779914944,0.0,0.0,7.703645e-20,0.006727882
73,-11.243594760216101,1.0,-1.5707963267948966,0.0,0.0,-3.357875e-19,0.0034542761
74,-11.243594760216101,1.0,-0.5235987755982991,0.0,0.0,2.2530032e-19,0.0007461336
75,-11.243594760216101,1.0,0.5235987755982983,0.0,0.0,-4.9289777e-20,0.016723638
76,-11.243594760216101,1.0,1.5707963267948966,0.0,0.0,-1.4604384e-19,0.010844256
77,-11.243594760216101,1.0,2.617993877991494,0.0,0.0,2.0900662e-19,0.0013101436
78,-11.243594760216101,1.0,3.6651914291880914,0.0,0.0,2.3201935e-20,0.0059356946
79,-11.243594760216101,1.0,4.71238898038469,0.0,0.0,2.686318e-19,-0.018043028
80,-9.92081890607303,-1.0,-4.71238898038469,0.0,0.0,-5.983499e-20,0.0017465294
81,-9.92081890607303,-1.0,-3.6651914291880923,0.0,0.0,-3.4256286e-20,0.0013805947
82,-9.92081890607303,-1.0,-2.6179938779914944,0.0,0.0,2.1599535e-19,-0.0028084104
83,-9.92081890607303,-1.0,-1.5707963267948966,0.0,0.0,2.9993676e-20,0.0012574346
84,-9.92081890607303,-1.0,-0.5235987755982991,0.0,0.0,-1.2768006e-19,-0.0033891671
85,-9.92081890607303,-1.0,0.5235987755982983,0.0,0.0,2.2797186e-19,-0.0014095058
86,-9.92081890607303,-1.0,1.5707963267948966,0.0,0.0,-2.2597623e-19,0.015682723
87,-9.92081890607303,-1.0,2.617993877991494,0.0,0.0,-2.989547e-19,0.00096427306
88,-9.92081890607303,-1.0,3.6651914291880914,0.0,0.0,2.6188705e-20,0.011143476
89,-9.92081890607303,-1.0,4.71238898038469,0.0,0.0,-5.983518e-20,0.0017465274
90,-9.92081890607303,-0.33333333333333337,-4.71238898038469,0.99263644,0.026194485,-0.05466378,-0.0045174924
91,-9.92081890607303,-0.33333333333333337,-3.6651914291880923,1.0808767,0.012155039,0.009269898,0.0007240667
92,-9.92081890607303,-0.33333333333333337,-2.6179938779914944,1.1770203,0.024077108,-0.02194584,-0.002026918
93,-9.92081890607303,-0.33333333333333337,-1.5707963267948966,1.1048249,0.000941218,0.037437413,-0.0025409497
94,-9.92081890607303,-0.33333333333333337,-0.5235987755982991,1.1111324,-0.05023762,0.0055477447,-0.0037407293
95,-9.92081890607303,-0.33333333333333337,0.5235987755982983,1.0792692,-0.04352725,0.016266443,-0.00031708519
96,-9.92081890607303,-0.33333333333333337,1.5707963267948966,1.136332,0.029005926,-0.026270691,-0.011008461
97,-9.92081890607303,-0.33333333333333337,2.617993877991494,0.98022723,0.01955226,0.07585002,-0.0017653834
98,-9.92081890607303,-0.33333333333333337,3.6651914291880914,1.0879728,-0.017621893,0.038888905,0.0015926163
99,-9.92081890607303,-0.33333333333333337,4.71238898038469,0.99263644,0.02619455,-0.054663848,-0.0045174933
100,-9.92081890607303,0.33333333333333326,-4.71238898038469,1.1419898,0.0038622767,0.0013717975,0.00019015228
101,-9.92081890607303,0.33333333333333326,-3.6651914291880923,0.9604146,-0.059937887,-0.099574886,-0.0019190814
102,-9.92081890607303,0.33333333333333326,-2.6179938779914944,1.1144071,0.025032286,0.07882772,-0.0007463591
103,-9.92081890607303,0.33333333333333326,-1.5707963267948966,1.1483234,0.017624892,-0.06485736,-0.00065655296
104,-9.92081890607303,0.33333333333333326,-0.5235987755982991,1.054355,0.014171736,-0.0048272545,-0.00096159556
105,-9.92081890607303,0.33333333333333326,0.5235987755982983,1.1170477,0.059345096,0.04435733,7.5337164e-05
106,-9.92081890607303,0.33333333333333326,1.5707963267948966,1.1902833,0.084274925,0.021604696,-0.0043678186
107,-9.92081890607303,0.33333333333333326,2.617993877991494,1.1067744,-0.00019050576,-0.060774896,0.0015639364
108,-9.92081890607303,0.33333333333333326,3.6651914291880914,1.0443134,0.058492385,-0.07181627,-0.0038636208
109,-9.92081890607303,0.33333333333333326,4.71238898038469,1.1419898,0.003862288,0.0013718075,0.0001901523
110,-9.92081890607303,1.0,-4.71238898038469,0.0,0.0,4.077705e-19,0.0037023595
