idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,2.0881097e-19,0.00076845934
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,-1.1225044e-19,0.011512095
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,-2.697441e-19,0.0013103561
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,1.9594443e-19,-0.005843578
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,-2.8186344e-20,-0.002751777
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,-1.5193845e-19,0.0010715516
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,-1.1395596e-19,0.0023290133
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,-1.0667546e-19,0.009285592
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,2.7948716e-19,-0.007951802
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,2.0881124e-19,0.00076845987
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,0.9859835,-0.037397813,-0.024778757,0.004920025
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.0237837,-0.047353264,0.07035349,0.0015011376
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.1379879,0.019200217,-0.11138175,-0.0028108326
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.05716,0.046424802,-0.046499006,0.0017714902
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.0440472,0.031251784,0.039280795,4.554692e-05
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.1829562,-0.028048346,-0.036288135,0.0012783497
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.0771393,0.0075504268,0.0052578193,0.004129328
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,1.0787244,-0.013974691,0.006168416,0.0006132693
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.1417042,0.004291227,0.012059677,0.0010848101
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,0.98598343,-0.037397817,-0.024778755,0.0049200244
20,-12.566370614359172,0.33333333333333326,-4.71238898038469,0.96582556,0.009957209,-0.06029152,-0.0005005439
21,-12.566370614359172,0.33333333333333326,-3.6651914291880923,1.0891284,-0.014900551,-0.023655731,-0.0009361172
22,-12.566370614359172,0.33333333333333326,-2.6179938779914944,1.0306301,-0.065415815,-0.012560957,-0.0036068617
23,-12.566370614359172,0.33333333333333326,-1.5707963267948966,0.99272066,-0.029494222,-0.030004118,-0.0078577055
24,-12.566370614359172,0.33333333333333326,-0.5235987755982991,0.9983849,-0.012616909,-0.025914446,-0.0022540868
25,-12.566370614359172,0.33333333333333326,0.5235987755982983,1.053233,-0.066851616,-0.07123363,-0.0050476105
26,-12.566370614359172,0.33333333333333326,1.5707963267948966,1.0522949,0.03639237,-0.009955912,-0.00042919506
27,-12.566370614359172,0.33333333333333326,2.617993877991494,1.1327116,0.016992707,0.0016303457,0.001969734
28,-12.566370614359172,0.33333333333333326,3.6651914291880914,1.0270171,-0.015890243,-0.025973504,0.0013204889
