idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,1.2150824e-21,0.00046007626
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,-8.9645844e-21,0.004626621
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,-9.9765616e-21,0.0019249548
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,1.2424279e-19,0.0033261469
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,5.407913e-20,0.003190212
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,1.8750272e-19,-0.0044774553
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,9.2340104e-20,-0.0068822405
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,1.6017069e-19,0.004996141
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,-3.05303e-20,-0.0020331226
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,1.2152002e-21,0.00046007388
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,0.95571387,0.039897483,-0.045589518,0.0004952609
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.1116824,-0.06886934,-0.049767904,0.001171912
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.0926197,0.029808214,-0.061338153,0.0013467709
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.0718942,0.012773223,0.11430006,-0.00071005855
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.110458,-0.07464838,0.06326922,-0.0077901217
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.0291214,-0.0012128685,0.021683853,-0.0018729158
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.0872377,-0.0055763316,0.0009883485,-0.0004316649
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,0.9311127,0.1294725,-0.03952162,-0.008066031
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.1434858,-0.03746068,-0.064336695,0.0006744354
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,0.95571387,0.03989748,-0.045589536,0.0004952602
