idx,x,y,z,vx,vy,vz,pressure
0,-12.566370614359172,-1.0,-4.71238898038469,0.0,0.0,-2.9116794e-19,0.0013278624
1,-12.566370614359172,-1.0,-3.6651914291880923,0.0,0.0,3.2468354e-20,-0.021946605
2,-12.566370614359172,-1.0,-2.6179938779914944,0.0,0.0,1.1164954e-19,-0.010448993
3,-12.566370614359172,-1.0,-1.5707963267948966,0.0,0.0,4.9846188e-20,0.0020569155
4,-12.566370614359172,-1.0,-0.5235987755982991,0.0,0.0,-1.5821235e-19,0.003950458
5,-12.566370614359172,-1.0,0.5235987755982983,0.0,0.0,1.970465e-19,0.010253765
6,-12.566370614359172,-1.0,1.5707963267948966,0.0,0.0,-6.909725e-20,-0.008217936
7,-12.566370614359172,-1.0,2.617993877991494,0.0,0.0,7.1276835e-20,0.002614705
8,-12.566370614359172,-1.0,3.6651914291880914,0.0,0.0,6.360182e-20,-0.010915869
9,-12.566370614359172,-1.0,4.71238898038469,0.0,0.0,-2.9116768e-19,0.0013278523
10,-12.566370614359172,-0.33333333333333337,-4.71238898038469,1.030503,-0.026926856,-0.030401284,0.0047607925
11,-12.566370614359172,-0.33333333333333337,-3.6651914291880923,1.138,-0.036204584,-0.00443943,-0.0013770519
12,-12.566370614359172,-0.33333333333333337,-2.6179938779914944,1.0724932,0.013532765,-0.00746916,0.0049562203
13,-12.566370614359172,-0.33333333333333337,-1.5707963267948966,1.0440247,0.063478395,-0.020879531,-0.0059962124
14,-12.566370614359172,-0.33333333333333337,-0.5235987755982991,1.0602111,-0.019589784,-0.12830575,-0.0029223303
15,-12.566370614359172,-0.33333333333333337,0.5235987755982983,1.0028038,0.06076074,0.0148671325,-0.0014286361
16,-12.566370614359172,-0.33333333333333337,1.5707963267948966,1.1078562,-0.04031395,-0.06058377,-0.0018587814
17,-12.566370614359172,-0.33333333333333337,2.617993877991494,1.1013659,-0.017254878,-0.0055238996,0.0024203337
18,-12.566370614359172,-0.33333333333333337,3.6651914291880914,1.1364712,-0.044102497,0.007376638,-0.0013453754
19,-12.566370614359172,-0.33333333333333337,4.71238898038469,1.030503,-0.026926862,-0.030401265,0.0047607934
20,-12.566370614359172,0.33333333333333326,-4.71238898038469,1.1159362,0.04908927,-0.004141678,9.248996e-05
21,-12.566370614359172,0.33333333333333326,-3.6651914291880923,1.0721182,0.047755092,-0.042990103,-0.0036223524
22,-12.566370614359172,0.33333333333333326,-2.6179938779914944,1.1631021,0.004402606,0.081477836,-0.0029092405
23,-12.566370614359172,0.33333333333333326,-1.5707963267948966,1.0461701,-0.040777545,-0.013914195,0.0018250018
24,-12.566370614359172,0.33333333333333326,-0.5235987755982991,1.076067,0.036913317,-0.12288063,-0.00364326
25,-12.566370614359172,0.33333333333333326,0.5235987755982983,1.0958531,0.0007057701,0.044367306,0.0004914333
26,-12.566370614359172,0.33333333333333326,1.5707963267948966,1.0121138,-0.008567916,0.03330526,-0.0015343016
27,-12.566370614359172,0.33333333333333326,2.617993877991494,1.1320026,0.010893632,0.024861254,0.00084030675
28,-12.566370614359172,0.33333333333333326,3.6651914291880914,1.0087159,0.05745884,-0.041384224,-0.0040185093
29,-12.566370614359172,0.33333333333333326,4.71238898038469,1.1159362,0.049089264,-0.0041416828,9.248969e-05
30,-12.566370614359172,1.0,-4.71238898038469,0.0,0.0,-1.1605623e-19,0.0031297058
31,-12.566370614359172,1.0,-3.6651914291880923,0.0,0.0,5.574e-20,-0.00036693044
32,-12.566370614359172,1.0,-2.6179938779914944,0.0,0.0,5.2542732e-20,-0.013522604
33,-12.566370614359172,1.0,-1.5707963267948966,0.0,0.0,7.6716905e-20,0.0006801432
34,-12.566370614359172,1.0,-0.5235987755982991,0.0,0.0,2.6911225e-19,-0.0001213714
35,-12.566370614359172,1.0,0.5235987755982983,0.0,0.0,6.1128964e-20,0.012870607
36,-12.566370614359172,1.0,1.5707963267948966,0.0,0.0,-1.503044e-19,-0.008770651
37,-12.566370614359172,1.0,2.617993877991494,0.0,0.0,8.409921e-20,0.0044965507
38,-12.566370614359172,1.0,3.6651914291880914,0.0,0.0,-5.1090507e-20,-0.005541276
39,-12.566370614359172,1.0,4.71238898038469,0.0,0.0,-1.1605551e-19,0.0031297063
40,-11.243594760216101,-1.0,-4.71238898038469,0.0,0.0,-3.3335857e-19,0.0065606963
41,-11.243594760216101,-1.0,-3.6651914291880923,0.0,0.0,3.5181263e-19,0.00053315103
42,-11.243594760216101,-1.0,-2.6179938779914944,0.0,0.0,1.5193219e-19,0.0042951494
43,-11.243594760216101,-1.0,-1.5707963267948966,0.0,0.0,-1.5857582e-19,0.0043985005
44,-11.243594760216101,-1.0,-0.5235987755982991,0.0,0.0,4.5193006e-20,0.013854614
45,-11.243594760216101,-1.0,0.5235987755982983,0.0,0.0,-4.5051197e-20,0.0018420271
46,-11.243594760216101,-1.0,1.5707963267948966,0.0,0.0,-2.0288282e-19,0.0020142454
47,-11.243594760216101,-1.0,2.617993877991494,0.0,0.0,-1.2290976e-19,-0.0027743226
48,-11.243594760216101,-1.0,3.6651914291880914,0.0,0.0,-1.2756273e-19,0.0112419175
49,-11.243594760216101,-1.0,4.71238898038469,0.0,0.0,-3.333582e-19,0.006560702
50,-11.243594760216101,-0.33333333333333337,-4.71238898038469,1.124897,-0.007603682,0.04738719,-0.00031291865
51,-11.243594760216101,-0.33333333333333337,-3.6651914291880923,1.0670196,0.056761943,0.02940537,0.0013368783
52,-11.243594760216101,-0.33333333333333337,-2.6179938779914944,1.0582566,0.034409333,0.072340354,-0.0022310652
53,-11.243594760216101,-0.33333333333333337,-1.5707963267948966,0.9807006,0.11456856,-0.039566122,-0.002780753
54,-11.243594760216101,-0.33333333333333337,-0.5235987755982991,1.1598046,-0.011266353,-0.010176398,0.0005608501
55,-11.243594760216101,-0.33333333333333337,0.5235987755982983,1.0825169,0.0609906,-0.056180157,-0.003035224
56,-11.243594760216101,-0.33333333333333337,1.5707963267948966,1.1574612,0.024395784,-0.0023789192,0.002842465
57,-11.243594760216101,-0.33333333333333337,2.617993877991494,1.0490977,-0.03920966,-0.025000563,-0.0024821917
58,-11.243594760216101,-0.33333333333333337,3.6651914291880914,1.1029841,0.03852733,0.010690077,-0.000517052
59,-11.243594760216101,-0.33333333333333337,4.71238898038469,1.124897,-0.0076037017,0.047387186,-0.0003129184
60,-11.243594760216101,0.33333333333333326,-4.71238898038469,1.1604476,-0.0036185854,-0.013068093,0.00016714039
61,-11.243594760216101,0.33333333333333326,-3.6651914291880923,1.1258128,0.059637748,0.029853772,-0.0012603396
62,-11.243594760216101,0.33333333333333326,-2.6179938779914944,1.137706,0.015363206,-0.03730327,0.0014713124
63,-11.243594760216101,0.33333333333333326,-1.5707963267948966,1.1472747,-0.014075352,0.12597974,0.0008868014
64,-11.243594760216101,0.33333333333333326,-0.5235987755982991,1.0152718,0.0067845746,0.057235733,0.00040881295
65,-11.243594760216101,0.33333333333333326,0.5235987755982983,1.1606812,-0.07014773,-0.041913096,0.0021767973
66,-11.243594760216101,0.33333333333333326,1.5707963267948966,1.178902,0.05191227,-0.014868031,0.00032565763
67,-11.243594760216101,0.33333333333333326,2.617993877991494,1.0660204,0.08368248,-0.017599966,-0.0058327704
68,-11.243594760216101,0.33333333333333326,3.6651914291880914,1.0126987,0.0665566,0.008536203,-0.0020091222
69,-11.243594760216101,0.33333333333333326,4.71238898038469,1.1604476,-0.0036185726,-0.013068082,0.00016714024
70,-11.243594760216101,1.0,-4.71238898038469,0.0,0.0,3.4503363e-19,0.0041533513
71,-11.243594760216101,1.0,-3.6651914291880923,0.0,0.0,-1.7216998e-19,-0.0072057615
72,-11.243594760216101,1.0,-2.6179938779914944,0.0,0.0,-1.07347274e-19,0.007873007
73,-11.243594760216101,1.0,-1.5707963267948966,0.0,0.0,-1.0988471e-19,0.001958211
74,-11.243594760216101,1.0,-0.5235987755982991,0.0,0.0,1.6768167e-19,0.0074134553
75,-11.243594760216101,1.0,0.5235987755982983,0.0,0.0,1.5739882e-20,0.00010774629
76,-11.243594760216101,1.0,1.5707963267948966,0.0,0.0,-1.3887287e-20,0.002977703
77,-11.243594760216101,1.0,2.617993877991494,0.0,0.0,7.482148e-21,0.005468923
78,-11.243594760216101,1.0,3.6651914291880914,0.0,0.0,8.397608e-21,-0.0009714301
79,-11.243594760216101,1.0,4.71238898038469,0.0,0.0,3.4503365e-19,0.0041533518
80,-9.92081890607303,-1.0,-4.71238898038469,0.0,0.0,-2.6014569e-20,-0.0030624156
81,-9.92081890607303,-1.0,-3.6651914291880923,0.0,0.0,1.0051155e-19,0.004728896
82,-9.92081890607303,-1.0,-2.6179938779914944,0.0,0.0,7.209797e-20,-0.0035138836
83,-9.92081890607303,-1.0,-1.5707963267948966,0.0,0.0,9.088045e-20,-0.00085369725
84,-9.92081890607303,-1.0,-0.5235987755982991,0.0,0.0,-4.1659772e-20,0.0032983872
85,-9.92081890607303,-1.0,0.5235987755982983,0.0,0.0,2.0033058e-19,-0.00543239
86,-9.92081890607303,-1.0,1.5707963267948966,0.0,0.0,1.967936e-19,0.0042232512
87,-9.92081890607303,-1.0,2.617993877991494,0.0,0.0,-1.2612921e-20,0.008892758
88,-9.92081890607303,-1.0,3.6651914291880914,0.0,0.0,-4.573214e-19,-0.0004346767
89,-9.92081890607303,-1.0,4.71238898038469,0.0,0.0,-2.6014559e-20,-0.0030624147
90,-9.92081890607303,-0.33333333333333337,-4.71238898038469,1.137371,0.04816245,0.087053806,0.0006604586
91,-9.92081890607303,-0.33333333333333337,-3.6651914291880923,1.0829778,-0.0026006522,-0.037775762,0.00083750393
92,-9.92081890607303,-0.33333333333333337,-2.6179938779914944,1.1329758,-0.04834474,-0.00209693,-0.0011553316
93,-9.92081890607303,-0.33333333333333337,-1.5707963267948966,1.0778587,0.025488593,0.018542321,-0.0006710588
94,-9.92081890607303,-0.33333333333333337,-0.5235987755982991,1.1073095,0.011519556,-0.049289178,0.003631647
95,-9.92081890607303,-0.33333333333333337,0.5235987755982983,1.064253,-0.00075222936,0.036302306,0.0006131843
96,-9.92081890607303,-0.33333333333333337,1.5707963267948966,1.1031256,-0.02769189,0.015405798,0.0020402179
97,-9.92081890607303,-0.33333333333333337,2.617993877991494,0.9725052,0.05018294,0.018047424,-0.0075025707
98,-9.92081890607303,-0.33333333333333337,3.6651914291880914,1.1495337,-0.010255679,0.011396405,0.00026167056
99,-9.92081890607303,-0.33333333333333337,4.71238898038469,1.1373711,0.04816244,0.08705382,0.0006604575
100,-9.92081890607303,0.33333333333333326,-4.71238898038469,1.1025878,0.0207615,-0.010195768,-0.0005614865
101,-9.92081890607303,0.33333333333333326,-3.6651914291880923,1.1048727,-0.020349955,-0.03690551,0.0038804775
102,-9.92081890607303,0.33333333333333326,-2.6179938779914944,1.188313,0.055814903,-0.011812715,0.00018106014
103,-9.92081890607303,0.33333333333333326,-1.5707963267948966,1.09093,0.010663685,0.02549456,-0.00063868373
104,-9.92081890607303,0.33333333333333326,-0.5235987755982991,1.1515795,0.01589729,0.010873614,-0.0028993324
105,-9.92081890607303,0.33333333333333326,0.5235987755982983,1.1202576,0.022660745,-0.04963209,0.0027179504
106,-9.92081890607303,0.33333333333333326,1.5707963267948966,1.0912647,0.048569486,-0.0035535179,0.002492359
107,-9.92081890607303,0.33333333333333326,2.617993877991494,1.1142722,-0.016070047,-0.07972768,-0.0018583135
108,-9.92081890607303,0.33333333333333326,3.6651914291880914,0.94597137,-0.07698145,0.030346783,-0.0030520568
109,-9.92081890607303,0.33333333333333326,4.71238898038469,1.1025878,0.020761508,-0.010195768,-0.00056148646
110,-9.92081890607303,1.0,-4.71238898038469,0.0,0.0,5.4281905e-20,0.0014505049
111,-9.92081890607303,1.0,-3.6651914291880923,0.0,0.0,6.765768e-20,0.008018835
112,-9.92081890607303,1.0,-2.6179938779914944,0.0,0.0,7.568512e-20,0.0074929167
113,-9.92081890607303,1.0,-1.5707963267948966,0.0,0.0,-8.661257e-20,-0.0024167914
114,-9.92081890607303,1.0,-0.5235987755982991,0.0,0.0,-1.1158187e-19,-0.0068545644
115,-9.92081890607303,1.0,0.5235987755982983,0.0,0.0,-2.8793656e-20,0.0028272953
